name,title,ethnicity,gender,confirmed
Rupert Murdoch,Executive Chairman,,,no
Jack Abernethy,Co-President,,,no
Suzanne Scott,"President, Programming and Development",,,no
Sharri Berg,"Senior Vice President, News Operations",,,no
Jay Wallace,"President, News",,,no
