name,title,ethnicity,gender,confirmed
Jarl Mohn,President and CEO,white,male,yes
Anya Grundmann,"Vice President, Programming and Audience Development",white,female,yes
Michael Oreskes,"Senior Vice President, News and Editorial Director",white,male,yes
Christopher Turpin,"Vice President, News Programming and Operations",white,male,yes
Keith Woods,"Vice President, Newsroom Training and Diversity",black,male,yes
